"id","queue_id","service_id","counter_id","user_id","token_letter","token_number","called_date","started_at","ended_at","waiting_time","served_time","turn_around_time","created_at","updated_at","call_status_id"
"49","71","1","2","13","W","7","2024-01-26","2024-01-26 10:21:47","2024-01-26 10:27:18","00:08:21","00:05:31","00:13:52","2024-01-26 10:21:47","2024-01-26 10:27:18","1"
"53","72","1","2","13","W","8","2024-01-26","2024-01-26 10:28:05","2024-01-26 10:28:17","00:10:02","null","null","2024-01-26 10:28:05","2024-01-26 10:28:17","2"
"55","78","1","2","13","W","10","2024-01-26","2024-01-26 10:29:48","2024-01-26 10:34:06","00:06:12","00:04:18","00:10:30","2024-01-26 10:29:48","2024-01-26 10:34:06","1"
"59","57","2","2","13","NR","4","2024-01-26","2024-01-26 10:37:28","2024-01-26 10:51:07","00:51:01","00:13:39","01:04:40","2024-01-26 10:37:28","2024-01-26 10:51:07","1"
"60","55","2","3","10","NR","3","2024-01-26","2024-01-26 10:21:49","2024-01-26 10:41:07","00:41:34","null","null","2024-01-26 10:39:56","2024-01-26 10:41:07","2"
"63","67","3","3","10","T","1","2024-01-26","2024-01-26 10:41:38","2024-01-26 10:55:14","00:36:00","00:13:36","00:49:36","2024-01-26 10:47:53","2024-01-26 10:55:14","1"
"64","59","2","2","13","NR","5","2024-01-26","2024-01-26 10:52:14","2024-01-26 10:52:52","01:04:56","00:00:38","01:05:34","2024-01-26 10:52:14","2024-01-26 10:52:52","1"
"65","61","2","2","13","NR","6","2024-01-26","2024-01-26 10:53:05","2024-01-26 10:53:42","00:53:36","null","null","2024-01-26 10:53:05","2024-01-26 10:53:42","2"
"66","62","2","8","7","NR","7","2024-01-26","2024-01-26 10:55:58","2024-01-26 11:10:23","00:56:12","00:14:25","01:10:37","2024-01-26 10:55:58","2024-01-26 11:10:23","1"
"67","77","1","1","5","W","9","2024-01-26","2024-01-26 10:29:31","2024-01-26 10:56:24","00:06:07","null","null","2024-01-26 10:56:08","2024-01-26 10:56:24","2"
"68","79","1","1","5","W","11","2024-01-26","2024-01-26 10:56:28","2024-01-26 11:01:33","00:32:33","null","null","2024-01-26 10:56:28","2024-01-26 11:01:33","2"
"70","81","1","1","5","W","12","2024-01-26","2024-01-26 11:05:09","2024-01-26 11:05:53","00:38:44","null","null","2024-01-26 11:05:38","2024-01-26 11:05:53","2"
"73","85","1","1","5","W","14","2024-01-26","2024-01-26 11:06:56","2024-01-26 11:16:47","00:02:02","null","null","2024-01-26 11:06:56","2024-01-26 11:16:47","2"
"75","65","2","8","7","NR","8","2024-01-26","2024-01-26 11:10:27","2024-01-26 11:19:07","01:08:39","00:08:40","01:17:19","2024-01-26 11:10:44","2024-01-26 11:19:07","1"
"76","66","2","3","10","NR","9","2024-01-26","2024-01-26 11:16:18","2024-01-26 11:26:19","01:12:15","00:10:01","01:22:16","2024-01-26 11:16:18","2024-01-26 11:26:19","1"
"77","86","1","1","5","W","15","2024-01-26","2024-01-26 11:16:49","2024-01-26 11:19:19","00:11:24","null","null","2024-01-26 11:16:49","2024-01-26 11:19:19","2"
"78","69","2","2","13","NR","10","2024-01-26","2024-01-26 11:19:00","2024-01-26 11:32:04","01:06:36","00:13:04","01:19:40","2024-01-26 11:19:00","2024-01-26 11:32:04","1"
"79","87","1","1","5","W","16","2024-01-26","2024-01-26 11:19:20","2024-01-26 11:26:36","00:13:37","null","null","2024-01-26 11:19:20","2024-01-26 11:26:36","2"
"80","70","2","8","7","NR","11","2024-01-26","2024-01-26 11:20:34","2024-01-26 11:59:43","01:07:57","00:39:09","01:47:06","2024-01-26 11:20:34","2024-01-26 11:59:43","1"
"82","84","1","1","5","W","13","2024-01-26","2024-01-26 11:05:54","2024-01-26 11:41:56","00:01:53","null","null","2024-01-26 11:26:40","2024-01-26 11:41:56","2"
"83","73","2","3","10","NR","12","2024-01-26","2024-01-26 11:26:27","2024-01-26 11:29:01","01:07:57","null","null","2024-01-26 11:28:55","2024-01-26 11:29:01","2"
"84","74","2","3","10","NR","13","2024-01-26","2024-01-26 11:37:16","2024-01-26 11:48:10","01:15:31","00:10:54","01:26:25","2024-01-26 11:37:16","2024-01-26 11:48:10","1"
"85","88","1","1","5","W","17","2024-01-26","2024-01-26 11:42:05","2024-01-26 11:44:17","00:36:06","null","null","2024-01-26 11:42:05","2024-01-26 11:44:17","2"
"86","89","1","1","5","W","18","2024-01-26","2024-01-26 11:45:24","2024-01-26 12:59:05","00:38:45","null","null","2024-01-26 11:45:24","2024-01-26 12:59:05","2"
"87","75","2","3","10","NR","14","2024-01-26","2024-01-26 11:48:27","2024-01-26 11:58:19","01:26:20","00:09:52","01:36:12","2024-01-26 11:48:27","2024-01-26 11:58:19","1"
"88","76","2","3","10","NR","15","2024-01-26","2024-01-26 11:59:18","2024-01-26 12:15:17","01:36:32","00:15:59","01:52:31","2024-01-26 11:59:18","2024-01-26 12:15:17","1"
"90","82","2","7","8","NR","17","2024-01-26","2024-01-26 12:18:49","2024-01-26 12:37:29","01:51:40","00:18:40","02:10:20","2024-01-26 12:18:49","2024-01-26 12:37:29","1"
"92","80","2","2","13","NR","16","2024-01-26","2024-01-26 12:17:03","2024-01-26 12:32:34","01:52:49","00:15:31","02:08:20","2024-01-26 12:23:27","2024-01-26 12:32:34","1"
"94","83","2","8","7","NR","18","2024-01-26","2024-01-26 12:27:19","2024-01-26 13:02:12","01:58:53","00:34:53","02:33:46","2024-01-26 12:27:45","2024-01-26 13:02:12","1"
"95","90","2","2","13","NR","19","2024-01-26","2024-01-26 12:32:48","2024-01-26 12:56:13","01:25:58","00:23:25","01:49:23","2024-01-26 12:32:48","2024-01-26 12:56:13","1"
"96","91","2","7","8","NR","20","2024-01-26","2024-01-26 12:37:35","2024-01-26 12:38:18","01:30:30","00:00:43","01:31:13","2024-01-26 12:37:35","2024-01-26 12:38:18","1"
"97","92","2","7","8","NR","21","2024-01-26","2024-01-26 12:38:21","2024-01-26 12:52:05","01:31:04","00:13:44","01:44:48","2024-01-26 12:38:21","2024-01-26 12:52:05","1"
"98","98","1","7","8","W","19","2024-01-26","2024-01-26 12:52:15","2024-01-26 12:53:31","01:38:54","00:01:16","01:40:10","2024-01-26 12:52:15","2024-01-26 12:53:31","1"
"99","102","1","7","8","W","20","2024-01-26","2024-01-26 12:53:43","2024-01-26 13:00:21","01:35:44","00:06:38","01:42:22","2024-01-26 12:53:43","2024-01-26 13:00:21","1"
"100","103","1","1","5","W","21","2024-01-26","2024-01-26 12:59:06","2024-01-26 13:05:42","01:39:10","null","null","2024-01-26 12:59:06","2024-01-26 13:05:42","2"
"101","93","2","3","10","NR","22","2024-01-26","2024-01-26 13:02:04","2024-01-26 13:14:27","01:54:35","00:12:23","02:06:58","2024-01-26 13:02:04","2024-01-26 13:14:27","1"
"103","94","2","8","7","NR","23","2024-01-26","2024-01-26 13:02:16","2024-01-26 13:02:43","01:54:33","00:00:27","01:55:00","2024-01-26 13:02:30","2024-01-26 13:02:43","1"
"104","95","2","8","7","NR","24","2024-01-26","2024-01-26 13:02:44","2024-01-26 13:11:01","01:54:41","00:08:17","02:02:58","2024-01-26 13:02:44","2024-01-26 13:11:01","1"
"105","96","2","2","13","NR","25","2024-01-26","2024-01-26 13:05:33","2024-01-26 13:18:04","01:57:07","00:12:31","02:09:38","2024-01-26 13:05:33","2024-01-26 13:18:04","1"
"106","104","1","1","5","W","22","2024-01-26","2024-01-26 13:05:43","2024-01-26 13:07:36","01:42:47","null","null","2024-01-26 13:05:43","2024-01-26 13:07:36","2"
"107","105","1","1","5","W","23","2024-01-26","2024-01-26 13:07:40","2024-01-26 13:19:35","01:44:32","null","null","2024-01-26 13:07:40","2024-01-26 13:19:35","2"
"108","97","2","8","7","NR","26","2024-01-26","2024-01-26 13:11:15","2024-01-26 13:23:49","02:02:38","00:12:34","02:15:12","2024-01-26 13:11:15","2024-01-26 13:23:49","1"
"110","99","2","7","8","NR","27","2024-01-26","2024-01-26 13:12:13","2024-01-26 13:23:52","01:57:27","00:11:39","02:09:06","2024-01-26 13:12:55","2024-01-26 13:23:52","1"
"111","100","2","3","10","NR","28","2024-01-26","2024-01-26 13:14:35","2024-01-26 13:26:51","01:58:41","00:12:16","02:10:57","2024-01-26 13:14:35","2024-01-26 13:26:51","1"
"112","108","1","1","5","W","24","2024-01-26","2024-01-26 13:19:40","2024-01-26 13:22:43","01:47:36","null","null","2024-01-26 13:19:40","2024-01-26 13:22:43","2"
"113","109","1","1","5","W","25","2024-01-26","2024-01-26 13:22:44","2024-01-26 13:23:10","01:50:21","null","null","2024-01-26 13:22:44","2024-01-26 13:23:10","2"
"114","111","1","1","5","W","26","2024-01-26","2024-01-26 13:23:14","2024-01-26 13:31:26","01:45:57","null","null","2024-01-26 13:23:14","2024-01-26 13:31:26","2"
"115","101","2","2","13","NR","29","2024-01-26","2024-01-26 13:23:17","2024-01-26 13:42:59","02:06:06","00:19:42","02:25:48","2024-01-26 13:23:17","2024-01-26 13:42:59","1"
"118","107","2","8","7","NR","31","2024-01-26","2024-01-26 13:25:17","2024-01-26 13:38:09","01:54:23","00:12:52","02:07:15","2024-01-26 13:25:17","2024-01-26 13:38:09","1"
"119","110","2","3","10","NR","32","2024-01-26","2024-01-26 13:27:06","2024-01-26 13:41:19","01:54:07","00:14:13","02:08:20","2024-01-26 13:27:06","2024-01-26 13:41:19","1"
"120","112","1","1","5","W","27","2024-01-26","2024-01-26 13:31:28","2024-01-26 13:43:25","01:53:53","null","null","2024-01-26 13:31:28","2024-01-26 13:43:25","2"
"121","106","2","7","8","NR","30","2024-01-26","2024-01-26 13:24:41","2024-01-26 13:32:46","02:01:18","00:08:05","02:09:23","2024-01-26 13:32:27","2024-01-26 13:32:46","1"
"122","113","2","7","8","NR","33","2024-01-26","2024-01-26 13:32:48","2024-01-26 14:05:17","01:19:33","00:32:29","01:52:02","2024-01-26 13:32:48","2024-01-26 14:05:17","1"
"123","117","2","8","7","NR","34","2024-01-26","2024-01-26 13:38:39","2024-01-26 13:38:44","01:24:02","null","null","2024-01-26 13:38:39","2024-01-26 13:38:44","2"
"124","118","2","3","10","NR","35","2024-01-26","2024-01-26 13:42:52","2024-01-26 13:56:32","01:27:14","00:13:40","01:40:54","2024-01-26 13:42:52","2024-01-26 13:56:32","1"
"126","114","1","1","5","W","28","2024-01-26","2024-01-26 13:43:29","2024-01-26 13:45:29","01:29:58","null","null","2024-01-26 13:45:27","2024-01-26 13:45:29","2"
"127","115","1","1","5","W","29","2024-01-26","2024-01-26 13:45:31","2024-01-26 13:45:35","01:31:44","null","null","2024-01-26 13:45:31","2024-01-26 13:45:35","2"
"128","119","2","2","13","NR","36","2024-01-26","2024-01-26 13:46:07","2024-01-26 14:16:04","01:30:10","00:29:57","02:00:07","2024-01-26 13:46:07","2024-01-26 14:16:04","1"
"129","116","1","1","5","W","30","2024-01-26","2024-01-26 13:46:13","2024-01-26 13:54:16","01:32:15","null","null","2024-01-26 13:46:13","2024-01-26 13:54:16","2"
"130","124","1","7","8","W","31","2024-01-26","2024-01-26 13:52:08","2024-01-26 14:04:09","01:32:32","00:12:01","01:44:33","2024-01-26 13:52:08","2024-01-26 14:04:09","1"
"131","122","3","3","10","T","2","2024-01-26","2024-01-26 13:56:59","2024-01-26 14:11:49","01:38:09","00:14:50","01:52:59","2024-01-26 13:56:59","2024-01-26 14:11:49","1"
"132","120","2","8","7","NR","37","2024-01-26","2024-01-26 13:59:38","2024-01-26 14:13:48","01:43:15","00:14:10","01:57:25","2024-01-26 13:59:38","2024-01-26 14:13:48","1"
"135","121","2","7","8","NR","38","2024-01-26","2024-01-26 14:05:56","2024-01-26 14:21:51","01:48:59","00:15:55","02:04:54","2024-01-26 14:05:56","2024-01-26 14:21:51","1"
"136","123","3","3","10","T","3","2024-01-26","2024-01-26 14:11:51","2024-01-26 14:12:19","01:52:43","null","null","2024-01-26 14:11:51","2024-01-26 14:12:19","2"
"138","135","2","8","7","NR","39","2024-01-26","2024-01-26 14:13:52","2024-01-26 14:24:54","01:36:24","00:11:02","01:47:26","2024-01-26 14:13:52","2024-01-26 14:24:54","1"
"139","136","2","2","13","NR","40","2024-01-26","2024-01-26 14:16:08","2024-01-26 14:40:46","01:37:59","00:24:38","02:02:37","2024-01-26 14:16:08","2024-01-26 14:40:46","1"
"140","126","1","5","6","W","33","2024-01-26","2024-01-26 14:18:26","2024-01-26 14:18:53","01:58:26","null","null","2024-01-26 14:18:26","2024-01-26 14:18:53","2"
"141","137","1","5","6","W","34","2024-01-26","2024-01-26 14:18:59","2024-01-26 14:27:30","01:40:37","00:08:31","01:49:08","2024-01-26 14:18:59","2024-01-26 14:27:30","1"
"142","127","3","3","10","T","4","2024-01-26","2024-01-26 14:12:22","2024-01-26 14:25:50","01:40:01","00:13:28","01:53:29","2024-01-26 14:20:29","2024-01-26 14:25:50","1"
"143","139","1","7","8","W","35","2024-01-26","2024-01-26 14:22:01","2024-01-26 14:28:13","01:41:48","00:06:12","01:48:00","2024-01-26 14:22:01","2024-01-26 14:28:13","1"
"144","138","2","8","7","NR","41","2024-01-26","2024-01-26 14:25:56","2024-01-26 14:38:07","01:47:04","00:12:11","01:59:15","2024-01-26 14:25:56","2024-01-26 14:38:07","1"
"145","125","1","1","5","W","32","2024-01-26","2024-01-26 14:03:10","2024-01-26 14:26:28","01:43:24","null","null","2024-01-26 14:26:24","2024-01-26 14:26:28","2"
"146","140","1","1","5","W","36","2024-01-26","2024-01-26 14:26:32","2024-01-26 14:38:27","01:45:35","null","null","2024-01-26 14:26:32","2024-01-26 14:38:27","2"
"147","128","3","3","10","T","5","2024-01-26","2024-01-26 14:27:21","2024-01-26 14:40:03","01:54:50","00:12:42","02:07:32","2024-01-26 14:27:21","2024-01-26 14:40:03","1"
"148","145","1","7","8","W","37","2024-01-26","2024-01-26 14:28:41","2024-01-26 14:36:39","01:42:01","00:07:58","01:49:59","2024-01-26 14:28:41","2024-01-26 14:36:39","1"
"149","146","1","7","8","W","38","2024-01-26","2024-01-26 14:37:28","2024-01-26 14:37:46","01:48:11","null","null","2024-01-26 14:37:28","2024-01-26 14:37:46","2"
"150","150","1","7","8","W","39","2024-01-26","2024-01-26 14:37:50","2024-01-26 14:40:49","01:40:34","00:02:59","01:43:33","2024-01-26 14:37:50","2024-01-26 14:40:49","1"
"152","151","1","1","5","W","40","2024-01-26","2024-01-26 14:38:29","2024-01-26 14:39:13","01:39:05","null","null","2024-01-26 14:38:47","2024-01-26 14:39:13","2"
"153","157","1","1","5","W","41","2024-01-26","2024-01-26 14:39:15","2024-01-26 14:39:53","01:25:44","null","null","2024-01-26 14:39:15","2024-01-26 14:39:53","2"
"154","161","1","1","5","W","42","2024-01-26","2024-01-26 14:39:54","2024-01-26 14:40:12","01:12:32","null","null","2024-01-26 14:39:54","2024-01-26 14:40:12","2"
"155","129","3","3","10","T","6","2024-01-26","2024-01-26 14:40:05","2024-01-26 14:51:30","02:06:58","00:11:25","02:18:23","2024-01-26 14:40:05","2024-01-26 14:51:30","1"
"156","163","1","1","5","W","43","2024-01-26","2024-01-26 14:40:14","2024-01-26 14:49:48","01:11:45","null","null","2024-01-26 14:40:14","2024-01-26 14:49:48","2"
"157","141","2","8","7","NR","42","2024-01-26","2024-01-26 14:40:43","2024-01-26 14:52:22","01:58:26","00:11:39","02:10:05","2024-01-26 14:40:43","2024-01-26 14:52:22","1"
"158","142","2","2","13","NR","43","2024-01-26","2024-01-26 14:40:50","2024-01-26 14:57:51","01:56:49","00:17:01","02:13:50","2024-01-26 14:40:50","2024-01-26 14:57:51","1"
"159","143","2","7","8","NR","44","2024-01-26","2024-01-26 14:42:59","2024-01-26 14:59:33","01:57:13","00:16:34","02:13:47","2024-01-26 14:42:59","2024-01-26 14:59:33","1"
"160","165","1","1","5","W","44","2024-01-26","2024-01-26 14:49:50","2024-01-26 15:04:25","01:16:18","null","null","2024-01-26 14:49:50","2024-01-26 15:04:25","2"
"161","144","2","8","7","NR","45","2024-01-26","2024-01-26 14:53:32","2024-01-26 15:08:24","02:07:33","00:14:52","02:22:25","2024-01-26 14:53:32","2024-01-26 15:08:24","1"
"163","130","3","3","10","T","7","2024-01-26","2024-01-26 14:58:47","2024-01-26 15:08:51","02:25:10","00:10:04","02:35:14","2024-01-26 14:58:47","2024-01-26 15:08:51","1"
"164","149","2","7","8","NR","47","2024-01-26","2024-01-26 15:00:54","2024-01-26 15:15:16","02:05:34","00:14:22","02:19:56","2024-01-26 15:00:54","2024-01-26 15:15:16","1"
"166","148","2","2","13","NR","46","2024-01-26","2024-01-26 14:57:54","2024-01-26 15:20:58","02:05:27","00:23:04","02:28:31","2024-01-26 15:03:06","2024-01-26 15:20:58","1"
"167","168","1","1","5","W","45","2024-01-26","2024-01-26 15:04:27","2024-01-26 15:07:53","01:14:06","null","null","2024-01-26 15:04:27","2024-01-26 15:07:53","2"
"168","169","1","1","5","W","46","2024-01-26","2024-01-26 15:07:57","2024-01-26 15:13:56","01:12:41","null","null","2024-01-26 15:07:57","2024-01-26 15:13:56","2"
"169","131","3","3","10","T","8","2024-01-26","2024-01-26 15:08:53","2024-01-26 15:20:52","02:34:45","00:11:59","02:46:44","2024-01-26 15:08:53","2024-01-26 15:20:52","1"
"170","152","2","8","7","NR","48","2024-01-26","2024-01-26 15:12:40","2024-01-26 15:27:52","02:09:35","00:15:12","02:24:47","2024-01-26 15:12:40","2024-01-26 15:27:52","1"
"171","171","1","1","5","W","47","2024-01-26","2024-01-26 15:13:58","2024-01-26 15:14:41","01:03:19","null","null","2024-01-26 15:13:58","2024-01-26 15:14:41","2"
"172","172","1","1","5","W","48","2024-01-26","2024-01-26 15:14:43","2024-01-26 15:15:12","01:03:53","null","null","2024-01-26 15:14:43","2024-01-26 15:15:12","2"
"173","174","1","5","6","W","49","2024-01-26","2024-01-26 15:14:55","2024-01-26 15:27:56","00:52:12","00:13:01","01:05:13","2024-01-26 15:14:55","2024-01-26 15:27:56","1"
"174","175","1","1","5","W","50","2024-01-26","2024-01-26 15:15:13","2024-01-26 15:18:49","00:50:35","null","null","2024-01-26 15:15:13","2024-01-26 15:18:49","2"
"175","153","2","7","8","NR","49","2024-01-26","2024-01-26 15:17:11","2024-01-26 15:32:15","02:13:46","00:15:04","02:28:50","2024-01-26 15:17:11","2024-01-26 15:32:15","1"
"176","176","1","1","5","W","51","2024-01-26","2024-01-26 15:18:51","2024-01-26 15:30:38","00:49:02","null","null","2024-01-26 15:18:51","2024-01-26 15:30:38","2"
"178","154","2","8","7","NR","50","2024-01-26","2024-01-26 15:27:54","2024-01-26 15:42:57","02:24:15","00:15:03","02:39:18","2024-01-26 15:27:54","2024-01-26 15:42:57","1"
"179","178","1","1","5","W","52","2024-01-26","2024-01-26 15:30:39","2024-01-26 15:34:24","00:40:33","null","null","2024-01-26 15:30:39","2024-01-26 15:34:24","2"
"180","132","3","3","10","T","9","2024-01-26","2024-01-26 15:20:56","2024-01-26 15:37:01","02:45:58","00:16:05","03:02:03","2024-01-26 15:30:46","2024-01-26 15:37:01","1"
"181","179","1","1","5","W","53","2024-01-26","2024-01-26 15:34:26","2024-01-26 15:38:56","00:34:16","null","null","2024-01-26 15:34:26","2024-01-26 15:38:56","2"
"182","155","2","7","8","NR","51","2024-01-26","2024-01-26 15:37:11","2024-01-26 15:51:57","02:26:29","00:14:46","02:41:15","2024-01-26 15:37:11","2024-01-26 15:51:57","1"
"183","133","3","3","10","T","10","2024-01-26","2024-01-26 15:37:26","2024-01-26 15:37:38","03:01:48","null","null","2024-01-26 15:37:26","2024-01-26 15:37:38","2"
"184","134","3","3","10","T","11","2024-01-26","2024-01-26 15:37:39","2024-01-26 15:37:47","03:01:45","null","null","2024-01-26 15:37:39","2024-01-26 15:37:47","2"
"185","147","3","3","10","T","12","2024-01-26","2024-01-26 15:37:49","2024-01-26 15:52:13","02:47:41","00:14:24","03:02:05","2024-01-26 15:37:49","2024-01-26 15:52:13","1"
"186","180","1","1","5","W","54","2024-01-26","2024-01-26 15:38:57","2024-01-26 15:39:41","00:08:25","null","null","2024-01-26 15:38:57","2024-01-26 15:39:41","2"
"187","181","1","1","5","W","55","2024-01-26","2024-01-26 15:39:42","2024-01-26 15:43:18","00:07:01","null","null","2024-01-26 15:39:42","2024-01-26 15:43:18","2"
"188","156","2","7","8","NR","52","2024-01-26","2024-01-26 15:52:08","2024-01-26 16:05:10","02:39:46","00:13:02","02:52:48","2024-01-26 15:52:08","2024-01-26 16:05:10","1"
"189","158","2","3","10","NR","53","2024-01-26","2024-01-26 15:52:45","2024-01-26 15:53:03","02:29:39","null","null","2024-01-26 15:52:45","2024-01-26 15:53:03","2"
"190","159","2","3","10","NR","54","2024-01-26","2024-01-26 15:53:05","2024-01-26 16:05:09","02:26:57","00:12:04","02:39:01","2024-01-26 15:53:05","2024-01-26 16:05:09","1"
"191","160","2","1","5","NR","55","2024-01-26","2024-01-26 15:56:27","2024-01-26 16:07:14","02:29:53","null","null","2024-01-26 15:56:27","2024-01-26 16:07:14","2"
"192","162","2","2","13","NR","56","2024-01-26","2024-01-26 16:02:49","2024-01-26 16:19:27","02:34:56","00:16:38","02:51:34","2024-01-26 16:02:49","2024-01-26 16:19:27","1"
"193","164","2","7","8","NR","57","2024-01-26","2024-01-26 16:06:13","2024-01-26 16:15:59","02:34:03","00:09:46","02:43:49","2024-01-26 16:06:13","2024-01-26 16:15:59","1"
"195","166","2","1","5","NR","58","2024-01-26","2024-01-26 16:07:16","null","02:27:32","null","null","2024-01-26 16:07:37","2024-01-26 16:07:37","null"
"196","167","2","3","10","NR","59","2024-01-26","2024-01-26 16:18:21","2024-01-26 16:29:11","02:30:21","00:10:50","02:41:11","2024-01-26 16:18:21","2024-01-26 16:29:11","1"
"197","170","2","2","13","NR","60","2024-01-26","2024-01-26 16:19:29","2024-01-26 16:32:48","02:23:31","00:13:19","02:36:50","2024-01-26 16:19:29","2024-01-26 16:32:48","1"
"198","173","2","3","10","NR","61","2024-01-26","2024-01-26 16:29:17","2024-01-26 16:39:02","02:14:13","00:09:45","02:23:58","2024-01-26 16:29:17","2024-01-26 16:39:02","1"
"199","177","2","7","8","NR","62","2024-01-26","2024-01-26 16:29:28","2024-01-26 16:48:04","01:54:13","00:18:36","02:12:49","2024-01-26 16:29:28","2024-01-26 16:48:04","1"
"212","182","2","8","7","NR","1","2024-01-28","2024-01-28 09:30:59","2024-01-28 09:49:57","00:05:58","00:18:58","00:24:56","2024-01-28 09:49:49","2024-01-28 09:49:57","1"
"215","187","2","8","7","NR","4","2024-01-28","2024-01-28 09:50:17","2024-01-28 09:50:35","00:19:42","null","null","2024-01-28 09:50:17","2024-01-28 09:50:35","2"
"216","184","2","4","12","NR","3","2024-01-28","2024-01-28 09:50:07","2024-01-28 09:50:59","00:23:18","null","null","2024-01-28 09:50:30","2024-01-28 09:50:59","2"
"219","183","2","8","7","NR","2","2024-01-28","2024-01-28 09:50:00","2024-01-28 10:06:31","00:24:37","00:16:31","00:41:08","2024-01-28 09:51:03","2024-01-28 10:06:31","1"
"220","185","1","4","12","W","1","2024-01-28","2024-01-28 09:51:12","2024-01-28 09:51:40","00:23:02","null","null","2024-01-28 09:51:12","2024-01-28 09:51:40","2"
"221","186","1","4","12","W","2","2024-01-28","2024-01-28 09:51:42","2024-01-28 09:51:58","00:23:14","null","null","2024-01-28 09:51:42","2024-01-28 09:51:58","2"
"222","189","1","4","12","W","3","2024-01-28","2024-01-28 09:51:59","2024-01-28 09:52:18","00:18:25","null","null","2024-01-28 09:51:59","2024-01-28 09:52:18","2"
"223","190","1","7","8","W","4","2024-01-28","2024-01-28 09:52:34","2024-01-28 10:03:06","00:14:04","00:10:32","00:24:36","2024-01-28 09:52:34","2024-01-28 10:03:06","1"
"224","192","1","4","12","W","5","2024-01-28","2024-01-28 09:52:50","2024-01-28 10:00:23","00:13:02","00:07:33","00:20:35","2024-01-28 09:52:50","2024-01-28 10:00:23","1"
"225","193","1","2","13","W","6","2024-01-28","2024-01-28 09:55:58","2024-01-28 10:04:26","00:15:49","00:08:28","00:24:17","2024-01-28 09:55:58","2024-01-28 10:04:26","1"
"226","194","1","4","12","W","7","2024-01-28","2024-01-28 10:00:25","2024-01-28 10:04:33","00:20:03","00:04:08","00:24:11","2024-01-28 10:00:25","2024-01-28 10:04:33","1"
"228","195","1","9","11","W","8","2024-01-28","2024-01-28 10:03:21","2024-01-28 10:15:29","00:22:44","00:12:08","00:34:52","2024-01-28 10:03:21","2024-01-28 10:15:29","1"
"229","196","1","2","13","W","9","2024-01-28","2024-01-28 10:04:31","2024-01-28 10:12:07","00:23:44","00:07:36","00:31:20","2024-01-28 10:04:31","2024-01-28 10:12:07","1"
